file_path,emotion,emotion_id,speaker_id,dataset,feature_path,augmented
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_angry\OAF_tell_angry.wav,angry,0,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_angry_6_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_20\03-01-03-01-01-01-20.wav,happy,3,ravdess_20,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_7_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_20\03-01-03-01-01-01-20.wav,happy,3,ravdess_20_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_7_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_Fear\OAF_calm_fear.wav,fear,2,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_fear_8_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_pleasant_surprised\YAF_hash_ps.wav,surprise,5,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_surprise_9_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_disgust\OAF_page_disgust.wav,disgust,1,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_10_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_angry\YAF_soup_angry.wav,angry,0,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_angry_11_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_Fear\OAF_which_fear.wav,fear,2,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_fear_12_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_22\03-01-06-01-01-01-22.wav,fear,2,ravdess_22,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_13_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_22\03-01-06-01-01-01-22.wav,fear,2,ravdess_22_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_13_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_Pleasant_surprise\OAF_book_ps.wav,surprise,5,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_surprise_14_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_disgust\YAF_youth_disgust.wav,disgust,1,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_15_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_10\03-01-04-01-02-02-10.wav,sad,4,ravdess_10,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_sad_16_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_10\03-01-04-01-02-02-10.wav,sad,4,ravdess_10_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_sad_16_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_23\03-01-04-02-01-01-23.wav,sad,4,ravdess_23,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_sad_17_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_23\03-01-04-02-01-01-23.wav,sad,4,ravdess_23_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_sad_17_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_Sad\OAF_ditch_sad.wav,sad,4,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_sad_18_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_13\03-01-06-01-02-01-13.wav,fear,2,ravdess_13,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_19_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_13\03-01-06-01-02-01-13.wav,fear,2,ravdess_13_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_19_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_20\03-01-07-02-01-01-20.wav,disgust,1,ravdess_20,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_20_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_20\03-01-07-02-01-01-20.wav,disgust,1,ravdess_20_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_20_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_angry\YAF_soap_angry.wav,angry,0,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_angry_21_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_fear\YAF_rose_fear.wav,fear,2,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_fear_22_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_disgust\YAF_dog_disgust.wav,disgust,1,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_23_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_disgust\OAF_pick_disgust.wav,disgust,1,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_24_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_angry\YAF_wheat_angry.wav,angry,0,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_angry_25_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_03\03-01-07-02-02-01-03.wav,disgust,1,ravdess_03,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_26_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_03\03-01-07-02-02-01-03.wav,disgust,1,ravdess_03_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_26_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_02\03-01-05-02-02-01-02.wav,angry,0,ravdess_02,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_angry_27_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_02\03-01-05-02-02-01-02.wav,angry,0,ravdess_02_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_angry_27_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_disgust\OAF_room_disgust.wav,disgust,1,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_28_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_20\03-01-07-02-01-02-20.wav,disgust,1,ravdess_20,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_29_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_20\03-01-07-02-01-02-20.wav,disgust,1,ravdess_20_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_29_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_19\03-01-03-01-01-01-19.wav,happy,3,ravdess_19,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_30_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_19\03-01-03-01-01-01-19.wav,happy,3,ravdess_19_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_30_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_05\03-01-05-01-02-02-05.wav,angry,0,ravdess_05,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_angry_31_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_05\03-01-05-01-02-02-05.wav,angry,0,ravdess_05_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_angry_31_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_disgust\YAF_base_disgust.wav,disgust,1,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_32_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_19\03-01-03-01-02-02-19.wav,happy,3,ravdess_19,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_33_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_19\03-01-03-01-02-02-19.wav,happy,3,ravdess_19_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_33_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_Sad\OAF_rat_sad.wav,sad,4,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_sad_34_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_fear\YAF_juice_fear.wav,fear,2,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_fear_35_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_18\03-01-06-01-01-01-18.wav,fear,2,ravdess_18,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_36_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_18\03-01-06-01-01-01-18.wav,fear,2,ravdess_18_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_36_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_06\03-01-06-02-02-01-06.wav,fear,2,ravdess_06,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_37_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_06\03-01-06-02-02-01-06.wav,fear,2,ravdess_06_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_37_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_09\03-01-06-01-01-01-09.wav,fear,2,ravdess_09,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_38_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_09\03-01-06-01-01-01-09.wav,fear,2,ravdess_09_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_fear_38_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_happy\YAF_rough_happy.wav,happy,3,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_happy_39_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_happy\OAF_match_happy.wav,happy,3,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_happy_40_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_sad\YAF_chief_sad.wav,sad,4,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_sad_41_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_fear\YAF_rag_fear.wav,fear,2,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_fear_42_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_02\03-01-08-02-01-02-02.wav,surprise,5,ravdess_02,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_surprise_43_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_02\03-01-08-02-01-02-02.wav,surprise,5,ravdess_02_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_surprise_43_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_21\03-01-07-02-01-02-21.wav,disgust,1,ravdess_21,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_44_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_21\03-01-07-02-01-02-21.wav,disgust,1,ravdess_21_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_disgust_44_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_fear\YAF_gaze_fear.wav,fear,2,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_fear_45_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_angry\OAF_book_angry.wav,angry,0,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_angry_46_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_happy\YAF_five_happy.wav,happy,3,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_happy_47_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_disgust\YAF_hate_disgust.wav,disgust,1,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_disgust_48_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_happy\YAF_time_happy.wav,happy,3,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_happy_49_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_05\03-01-03-02-01-01-05.wav,happy,3,ravdess_05,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_50_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_05\03-01-03-02-01-01-05.wav,happy,3,ravdess_05_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_happy_50_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_sad\YAF_keg_sad.wav,sad,4,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_sad_51_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_10\03-01-08-02-02-02-10.wav,surprise,5,ravdess_10,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_surprise_52_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/ravdess\Actor_10\03-01-08-02-02-02-10.wav,surprise,5,ravdess_10_aug,RAVDESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\RAVDESS_surprise_52_aug.npy,True
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\OAF_Pleasant_surprise\OAF_road_ps.wav,surprise,5,tess_OAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_surprise_53_orig.npy,False
c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/tess/TESS Toronto emotional speech set data\YAF_sad\YAF_dab_sad.wav,sad,4,tess_YAF,TESS,c:/Users/Nandhini Prbakaran/OneDrive/Documents/Minor_Nan_Audio/Minor_Nan_Audio/features\TESS_sad_54_orig.npy,False
